2021-03-03 19:19:40 ≥Ã–Ú∆Ù∂Ø......
2021-03-03 19:19:40[ERROR][alarm.c(36)] open alarm.cfg failed.
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(901)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(902)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(903)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(903)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(903)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(903)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(903)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(903)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(903)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(905)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(905)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(905)Act(0) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(905)Act(1) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(905)Act(1) Is Not Finish---
2021-03-03 19:19:40[ERROR][subAct.c(62)] ---Sub(906)Act(1) Is Not Finish---
